OrderID,OrderDate,Year,Region,Category,SalesAmount,Quantity,Channel,CustomerID
ORD100000,2025-10-16,2025.0,South,Home & Kitchen,3716.31,19.0,online,CUST1047
ORD100001,2024-08-11,2024.0,SOUTH,Home & Kitchen,2126.62,9.0,Online,CUST1081
ORD100002,2025-12-15,2025.0,,Fashion,1930.64,12.0,,CUST1022
ORD100003,2026-01-17,2026.0,North,electronics ,3161.77,12.0,,CUST1035
ORD100004,2024-02-16,2024.0,,Home,1931.62,12.0,Marketplace,CUST1107
ORD100005,2025-11-17,2025.0,north,Home & Kitchen,3659.18,13.0,Retail,CUST1285
ORD100006,2024-08-12,2024.0,South,,,9.0,Online,CUST1290
ORD100007,2026-01-05,2026.0,SOUTH,Grocery,741.17,18.0,Retail,CUST1219
ORD100008,2025-08-20,2025.0,north,Grocery,283.23,6.0,online,CUST1197
ORD100009,2025-01-25,2025.0,north,,3417.4,18.0,Retail,CUST1174
ORD100010,2024-04-24,,SOUTH,Home & Kitchen,2527.9,4.0,Retail,CUST1259
ORD100011,2025-09-15,2025.0,,electronics ,3014.78,4.0,Retail,CUST1157
ORD100012,2024-09-02,2024.0,North,Home & Kitchen,392.6,5.0,Marketplace,CUST1281
ORD100013,2024-06-18,2024.0,South,electronics ,3464.84,13.0,Retail,CUST1264
ORD100014,2025-04-07,2025.0,north,electronics ,1140.08,2.0,Marketplace,CUST1016
ORD100015,2026-05-30,2026.0,West,Home,3630.6,19.0,online,CUST1242
ORD100016,2026-04-06,2026.0,East,Grocery,4325.99,4.0,Online,CUST1173
ORD100017,2026-03-30,2026.0,West,Home,1428.8,3.0,online,CUST1281
ORD100018,2024-04-10,2024.0,North,,873.24,7.0,online,CUST1084
,2025-01-23,2025.0,,Grocery,3498.13,18.0,online,CUST1151
ORD100020,2024-08-10,2024.0,SOUTH,Fashion,2941.68,17.0,Marketplace,CUST1260
ORD100021,2024-03-23,2024.0,,Home,4710.9,19.0,,CUST1041
ORD100022,2025-03-05,2025.0,East,Home,1605.21,5.0,Retail,CUST1037
ORD100023,2024-01-10,2024.0,North,electronics ,1362.74,3.0,Marketplace,CUST1080
ORD100024,2025-03-24,2025.0,,Home & Kitchen,3355.92,4.0,Marketplace,CUST1054
ORD100025,2026-01-30,2026.0,SOUTH,Fashion,3189.48,16.0,Retail,CUST1026
ORD100026,2024-04-04,2024.0,East,,4900.0,15.0,,CUST1287
ORD100027,2024-01-10,2024.0,South,electronics ,,18.0,Marketplace,CUST1021
ORD100028,2024-11-11,2024.0,North,Fashion,1285.17,18.0,online,CUST1079
ORD100029,2024-08-30,2024.0,West,Electronics,N/A,14.0,Marketplace,CUST1055
ORD100030,2025-01-26,2025.0,,Grocery,4111.66,8.0,Online,CUST1204
ORD100031,2024-12-02,2024.0,East,Home & Kitchen,3413.61,11.0,Online,CUST1133
ORD100032,2024-07-01,2024.0,north,Grocery,3942.82,17.0,Online,CUST1295
ORD100033,2024-07-13,,,electronics ,4704.3,7.0,Retail,CUST1169
ORD100034,2025-09-30,2025.0,East,electronics ,2071.54,10.0,,CUST1215
ORD100035,2025-11-11,2025.0,north,electronics ,2762.29,,Retail,CUST1296
ORD100036,2025-09-13,2025.0,South,electronics ,4510.85,6.0,Online,CUST1171
ORD100037,2024-04-05,2024.0,South,,170.91,16.0,,CUST1037
ORD100038,2025-04-11,2025.0,SOUTH,Grocery,1257.72,1.0,Online,CUST1112
ORD100039,2024-06-29,2024.0,north,Home,650.73,15.0,,CUST1162
ORD100040,2026-02-12,2026.0,north,Grocery,2761.97,16.0,online,CUST1126
ORD100041,2026-05-10,2026.0,SOUTH,Home,433.54,9.0,Retail,CUST1276
ORD100042,2024-03-23,2024.0,SOUTH,Home,2067.62,14.0,Online,CUST1215
ORD100043,2025-02-02,2025.0,,,2411.05,10.0,online,CUST1214
ORD100044,2025-07-05,2025.0,South,Grocery,2207.39,,Retail,CUST1207
ORD100045,2026-01-11,2026.0,north,electronics ,,19.0,Online,CUST1219
ORD100046,2024-05-18,2024.0,East,Home,1720.63,9.0,online,CUST1041
,2025-04-26,2025.0,East,Home,3917.1,1.0,Marketplace,CUST1010
ORD100048,2025-09-28,2025.0,north,Home,1318.41,20.0,,CUST1058
ORD100049,2026-03-07,2026.0,North,Fashion,4544.73,7.0,Online,CUST1124
ORD100050,2024-04-14,2024.0,,Electronics,2851.37,18.0,online,CUST1035
ORD100051,,2025.0,West,Electronics,1842.83,15.0,Marketplace,CUST1267
ORD100052,2025-10-28,2025.0,West,Grocery,3668.58,8.0,Online,CUST1230
ORD100053,2024-09-06,2024.0,East,Electronics,1658.82,12.0,Retail,CUST1141
,2025-07-23,2025.0,SOUTH,Grocery,3802.92,16.0,online,CUST1047
ORD100055,2024-10-28,2024.0,north,Fashion,2678.06,18.0,Retail,CUST1232
ORD100056,2024-10-04,2024.0,East,Electronics,N/A,7.0,Marketplace,CUST1141
ORD100057,2026-01-11,2026.0,North,,1176.04,1.0,,CUST1023
ORD100058,2024-02-25,2024.0,,,4369.96,16.0,online,CUST1094
ORD100059,2024-02-22,2024.0,North,Grocery,2906.25,5.0,Marketplace,CUST1155
ORD100060,2024-03-28,2024.0,north,electronics ,1167.15,15.0,online,CUST1219
ORD100061,2024-11-08,2024.0,North,,1094.57,6.0,Marketplace,CUST1038
,2024-06-09,2024.0,East,Electronics,3549.43,15.0,Online,CUST1135
ORD100063,2026-03-17,2026.0,South,Grocery,1162.81,9.0,Marketplace,CUST1084
ORD100064,2026-03-22,2026.0,East,Grocery,3458.96,9.0,,CUST1224
ORD100065,2024-03-23,2024.0,north,Fashion,N/A,19.0,,CUST1137
ORD100066,2025-08-13,2025.0,SOUTH,Grocery,948.37,16.0,Online,CUST1209
ORD100067,2024-12-07,2024.0,West,Home & Kitchen,3329.79,18.0,Online,CUST1161
ORD100068,2024-09-15,2024.0,north,,3305.42,14.0,Online,CUST1185
ORD100069,2025-09-29,2025.0,South,Fashion,4641.98,16.0,Online,
ORD100070,2025-10-07,2025.0,north,Electronics,N/A,4.0,online,CUST1078
ORD100071,2025-05-25,2025.0,West,,2387.49,5.0,online,CUST1260
ORD100072,2026-02-03,2026.0,,,4674.53,1.0,Retail,CUST1300
ORD100073,2025-08-16,2025.0,north,Grocery,2781.99,15.0,Retail,CUST1122
ORD100074,2025-08-08,2025.0,East,Home & Kitchen,4571.48,5.0,online,CUST1064
ORD100075,2025-05-29,2025.0,,Grocery,4556.69,,Marketplace,CUST1079
ORD100076,2024-03-17,2024.0,SOUTH,Grocery,4266.24,18.0,online,CUST1249
ORD100077,2025-07-08,2025.0,East,Home,2198.16,4.0,online,CUST1153
ORD100078,2024-01-30,2024.0,East,Grocery,2679.27,6.0,Marketplace,CUST1195
ORD100079,2025-09-26,2025.0,South,Grocery,2324.87,15.0,Retail,CUST1080
ORD100080,2024-03-16,2024.0,SOUTH,Grocery,2311.34,13.0,online,CUST1195
ORD100081,2025-08-08,2025.0,North,,1408.68,2.0,,CUST1146
ORD100082,2026-03-05,2026.0,SOUTH,Home,3404.93,5.0,Online,CUST1020
ORD100083,2024-11-12,2024.0,South,Electronics,1667.26,7.0,Marketplace,CUST1187
ORD100084,2025-06-27,2025.0,,Grocery,1510.95,4.0,online,CUST1072
ORD100085,2026-02-11,2026.0,West,,1860.59,1.0,Retail,CUST1232
ORD100086,2025-01-12,2025.0,,Home & Kitchen,586.31,1.0,,CUST1287
ORD100087,2024-12-01,2024.0,,Grocery,1545.84,5.0,Online,CUST1155
ORD100088,2025-05-19,2025.0,West,Grocery,4749.43,18.0,online,CUST1079
ORD100089,2025-02-28,2025.0,East,Electronics,1125.48,8.0,Retail,CUST1188
ORD100090,2025-07-11,2025.0,East,Home,4747.6,3.0,Marketplace,CUST1010
ORD100091,2024-02-21,2024.0,north,Home,3837.53,7.0,Marketplace,CUST1075
ORD100092,,2026.0,South,Home,4002.64,1.0,Marketplace,
ORD100093,2026-03-19,,East,Electronics,2133.75,3.0,online,CUST1185
ORD100094,2025-06-09,2025.0,north,Electronics,4548.32,10.0,online,CUST1015
ORD100095,2024-03-03,2024.0,North,Grocery,2245.63,11.0,,CUST1064
ORD100096,2024-10-08,2024.0,West,electronics ,2295.89,4.0,Online,CUST1282
ORD100097,2026-01-08,2026.0,West,Fashion,2023.71,11.0,online,CUST1130
